SDSS_NAME,RA,DEC,CLASS,SUBCLASS,logR1,logR_ratio,BAL_PROB
110046.05+320954.3,165.1920456,32.16488735,core,r,1.8574975930648376,,-1.0
091153.04+305859.4,137.97106430000002,30.98315192,core,u,1.8571052747462715,,0.0
163157.20+265640.2,247.988422,26.94451912,core,u,1.958482266151728,,0.9
155739.55+223838.8,239.4148134,22.64400321,jet,,2.9598331859449365,,-1.0
154104.81+512715.5,235.26998140000003,51.45440024,core,u,1.6038809437419332,,-1.0
091852.70+495704.7,139.7197294,49.95137614,core,u,2.4739429593007016,,0.0
112749.45+051140.5,171.9561459,5.194483515,core,r,0.9257024205153456,,0.0
113025.37+381001.9,172.6057105,38.16723369,core,u,1.8417634834039447,,-1.0
003428.30+122128.4,8.617862265,12.35785529,core,u,1.5744174877200052,,0.0
233022.43+015527.2,352.5935,1.92441391,core,r,3.4474685693818072,,-1.0
220805.19+030142.6,332.0216873,3.0284749289999997,core,u,2.1378936718020056,,0.0
111807.47+002734.9,169.53115549999998,0.45961388799999997,core,u,1.1710867928967132,,-1.0
142326.05+325220.3,215.85863840000002,32.87231736,core,u,0.3627530194409431,,0.0
135847.17+063735.2,209.6966193,6.6263916929999995,core,u,1.698145683049599,,-1.0
022000.23+035440.9,35.00096631,3.911366739,core,u,1.1909330520245234,,-1.0
134521.37+061807.5,206.3391442,6.302319281,core,r,2.0935475142637814,,0.9
235815.45+081715.4,359.5644042,8.287633718,core,u,2.577634772483175,,-1.0
121302.80+494641.3,183.2617382,49.7781318,core,u,1.8337471360869515,,0.0
114935.64+354812.3,177.3984406,35.803619399999995,triple,l,1.1401158352796557,-1.1854158034383055,0.0
025509.76+025345.6,43.79072992,2.895999995,core,r,3.484405594287792,,-1.0
153450.51+383409.8,233.7103623,38.569480600000006,core,u,3.2686654037409,,0.0
133502.63+094324.7,203.7609937,9.723683552,core,r,0.7577411351560158,,-1.0
110113.13+382802.4,165.30471640000002,38.467239500000005,core,u,1.6098494717300127,,-1.0
144059.62+420404.2,220.24844199999998,42.06785227,core,u,1.3109571310894794,,0.0
130815.53+311013.3,197.06482649999998,31.17042547,core,u,2.8080464861540664,,-1.0
123643.28+465417.2,189.18061619999997,46.90483514,core,r,2.6418505858394683,,-1.0
092853.51+570735.3,142.2233898,57.12659573,jet,,1.7242069870235068,,0.0
090823.72+322151.0,137.0988355,32.36416495,core,u,2.4548400740070475,,0.0
132239.55+231550.0,200.6648416,23.26394192,core,u,1.4999046330583012,,-1.0
102245.17+472213.9,155.6885477,47.37062331,core,r,3.134580957728737,,0.0
163522.84+394437.7,248.8451736,39.74387699,double,c,0.9902959403971352,-0.1274742601207008,-1.0
084907.74+362927.8,132.28226809999998,36.49110868,core,u,2.6406022308210613,,-1.0
105616.04+210708.7,164.06682659999998,21.11903029,double,c,1.652983752820684,0.10405203515619493,-1.0
142825.52+485219.3,217.1062954,48.87204232,core,u,2.5842862570747074,,-1.0
163107.87+444707.9,247.7831611,44.78559137,core,r,2.308254611755514,,-1.0
083145.57+040132.2,127.939825,4.025716485,core,u,1.065806839473851,,-1.0
123559.82+433316.6,188.999179,43.55463419,core,u,2.2573083498787723,,0.0
013457.43+003943.1,23.73929576,0.66190835,core,u,2.501497255530189,,-1.0
165539.74+283406.7,253.91564649999998,28.56850588,core,u,2.3767587141123414,,0.9
080749.05+451550.3,121.954503,45.26398123,core,u,3.022283445793716,,0.0
103024.95+551622.7,157.6042382,55.27285165,triple,l,1.328656459835301,-0.5895952512093272,-1.0
110933.93+154211.9,167.39135290000002,15.70326743,core,u,1.9186396210867231,,0.0
221806.67+005223.6,334.52784080000004,0.873283335,core,u,1.7740482459504832,,-1.0
093949.61+414154.2,144.95670859999998,41.69843466,core,u,2.992203002160182,,-1.0
002015.30+095000.4,5.063858281,9.833619716,core,u,2.9134304720528448,,0.0
165329.08+370511.4,253.3711165,37.08655433,core,u,1.585385801212641,,0.0
083420.14+344847.3,128.5839255,34.81318733,double,c,1.9018177376455452,-0.10564684598957406,-1.0
144744.91+521120.2,221.9375068,52.18903832,core,r,2.5271298462568623,,0.0
131143.82+444433.1,197.9327523,44.74255435,core,r,2.116220017434697,,0.0
102651.13+263410.4,156.7130624,26.56958955,double,c,1.6600672872821862,-0.27299054506559267,0.9
110727.41+574203.0,166.8643218,57.70089852,core,u,2.402759028154726,,0.9
150018.08+023119.5,225.0752957,2.522005516,core,u,1.8547804040493543,,-1.0
113029.48+634620.4,172.622704,63.77240394,core,u,0.967202421780742,,-1.0
135851.88+584449.7,209.7162083,58.74715373,core,u,2.171135906373624,,0.9
111240.69+113331.0,168.16951630000003,11.55858911,core,u,1.019989036106655,,0.0
123258.35-023740.6,188.24330930000002,-2.627894366,core,u,1.829529351870824,,0.0
110353.07+183910.4,165.97090569999997,18.65289145,core,r,1.5032185473271695,,0.9
084854.41+363332.4,132.2267796,36.55941399,core,r,2.1085244391853366,,0.0
083148.87+042939.0,127.953581,4.49423075,core,u,2.0398986429671666,,-1.0
161159.54+311041.5,242.9980809,31.178215299999998,core,u,0.9907648107308716,,-1.0
111125.50+423514.9,167.85628380000003,42.58779017,core,r,1.996904657445053,,-1.0
104013.15+165043.3,160.05471880000002,16.84551412,core,r,2.55234237231637,,0.0
162143.06+215749.9,245.4294848,21.96388542,core,u,1.5454690421463908,,0.9
120655.79+065854.4,181.7325271,6.981824919,core,u,1.6483486629481874,,-1.0
215949.91+005146.7,329.9580003,0.863077805,core,u,2.16026376467412,,0.0
115556.01+521128.8,178.9831264,52.19134009,core,r,3.3878642234798706,,0.9
163208.29+191241.7,248.03451890000002,19.21155482,core,u,2.3221843028343785,,0.0
162109.95+100517.2,245.2913852,10.08803572,core,u,1.781054947917552,,-1.0
